epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,6960.66,1.61757,0.72064,0.85528,0.97084,0.91475,0.995,0.60446,1.57306,0.85723,1.09673,0.000594321,0.000594321,0.000594321
120,7018.37,1.719,0.7692,0.77923,0.96822,0.93344,0.995,0.56966,1.67327,0.91689,1.0668,0.000587248,0.000587248,0.000587248
121,7076.87,1.63779,0.75233,0.84457,0.96822,0.93344,0.995,0.56966,1.67327,0.91689,1.0668,0.000580174,0.000580174,0.000580174
122,7135.08,1.55237,0.77327,0.7986,0.96822,0.93344,0.995,0.56966,1.67327,0.91689,1.0668,0.0005731,0.0005731,0.0005731
123,7201.95,1.57172,0.73497,0.84397,0.97274,0.97446,0.995,0.62187,1.58017,0.90469,1.10065,0.000566027,0.000566027,0.000566027
124,7261.02,1.57505,0.72707,0.84592,0.97274,0.97446,0.995,0.62187,1.58017,0.90469,1.10065,0.000558953,0.000558953,0.000558953
125,7323.53,1.68335,0.77606,0.84937,0.97274,0.97446,0.995,0.62187,1.58017,0.90469,1.10065,0.00055188,0.00055188,0.00055188
126,7383.39,1.6046,0.71626,0.81747,0.95726,0.97284,0.995,0.59119,1.59441,0.91274,1.1551,0.000544806,0.000544806,0.000544806
127,7441.84,1.47487,0.71801,0.91139,0.95726,0.97284,0.995,0.59119,1.59441,0.91274,1.1551,0.000537733,0.000537733,0.000537733
128,7500.37,1.64194,0.75213,0.85973,0.95726,0.97284,0.995,0.59119,1.59441,0.91274,1.1551,0.000530659,0.000530659,0.000530659
129,7557.56,1.52877,0.73133,0.815,0.95726,0.97284,0.995,0.59119,1.59441,0.91274,1.1551,0.000523586,0.000523586,0.000523586
130,7615.57,1.65278,0.72861,0.84308,0.97088,0.97322,0.995,0.6375,1.5277,0.87958,1.12737,0.000516512,0.000516512,0.000516512
131,7675.3,1.60502,0.74076,0.78038,0.97088,0.97322,0.995,0.6375,1.5277,0.87958,1.12737,0.000509438,0.000509438,0.000509438
132,7734.33,1.67672,0.73724,0.86368,0.97088,0.97322,0.995,0.6375,1.5277,0.87958,1.12737,0.000502365,0.000502365,0.000502365
133,7792.57,1.56577,0.69765,0.83181,0.98356,0.92193,0.995,0.64872,1.52407,0.86464,1.12346,0.000495291,0.000495291,0.000495291
134,7850,1.59874,0.68797,0.7638,0.98356,0.92193,0.995,0.64872,1.52407,0.86464,1.12346,0.000488218,0.000488218,0.000488218
135,7906.86,1.47328,0.69816,0.86559,0.98356,0.92193,0.995,0.64872,1.52407,0.86464,1.12346,0.000481144,0.000481144,0.000481144
136,7964.76,1.49781,0.74772,0.89109,0.93802,0.88889,0.951,0.62856,1.50927,0.87045,1.08999,0.000474071,0.000474071,0.000474071
137,8023.94,1.4928,0.69174,0.81585,0.93802,0.88889,0.951,0.62856,1.50927,0.87045,1.08999,0.000466997,0.000466997,0.000466997
